iter	Passed	Remaining
0	68	68444
1	88	43978
2	107	35580
3	130	32378
4	151	30210
5	173	28724
6	194	27570
7	216	26856
8	236	26027
9	258	25586
10	278	25041
11	299	24642
12	321	24398
13	344	24241
14	363	23846
15	383	23573
16	403	23338
17	423	23123
18	443	22918
19	462	22683
20	483	22559
21	512	22776
22	533	22649
23	551	22437
24	573	22379
25	593	22230
26	620	22358
27	644	22369
28	664	22258
29	684	22137
30	704	22017
31	725	21946
32	746	21879
33	766	21783
34	791	21836
35	814	21817
36	834	21711
37	854	21628
38	874	21547
39	893	21436
40	912	21338
41	932	21267
42	951	21182
43	973	21157
44	993	21076
45	1013	21028
46	1032	20934
47	1052	20880
48	1072	20819
49	1093	20778
50	1113	20714
51	1133	20657
52	1151	20581
53	1175	20587
54	1195	20549
55	1218	20534
56	1237	20481
57	1258	20433
58	1281	20441
59	1302	20409
60	1322	20363
61	1341	20299
62	1360	20234
63	1378	20167
64	1399	20124
65	1418	20077
66	1439	20046
67	1459	20001
68	1477	19939
69	1500	19931
70	1520	19899
71	1542	19876
72	1562	19839
73	1581	19792
74	1601	19757
75	1622	19723
76	1643	19705
77	1665	19681
78	1688	19679
79	1710	19668
80	1734	19679
81	1756	19665
82	1780	19667
83	1802	19652
84	1832	19721
85	1867	19845
86	1898	19918
87	1925	19953
88	1947	19932
89	1973	19952
90	1996	19941
91	2015	19894
92	2034	19842
93	2062	19880
94	2082	19835
95	2101	19791
96	2120	19744
97	2141	19711
98	2163	19687
99	2188	19693
100	2207	19646
101	2227	19606
102	2250	19601
103	2271	19566
104	2290	19526
105	2311	19492
106	2333	19476
107	2356	19461
108	2377	19434
109	2401	19431
110	2422	19401
111	2445	19393
112	2476	19438
113	2499	19427
114	2519	19390
115	2542	19373
116	2563	19349
117	2586	19331
118	2607	19302
119	2628	19277
120	2656	19294
121	2674	19250
122	2693	19207
123	2715	19181
124	2734	19142
125	2764	19175
126	2785	19150
127	2807	19128
128	2827	19089
129	2846	19051
130	2871	19047
131	2891	19013
132	2911	18978
133	2932	18953
134	2952	18918
135	2972	18887
136	2992	18852
137	3014	18829
138	3035	18803
139	3057	18779
140	3078	18756
141	3107	18773
142	3130	18763
143	3150	18727
144	3171	18698
145	3191	18670
146	3212	18640
147	3233	18614
148	3252	18578
149	3274	18555
150	3296	18537
151	3316	18502
152	3336	18468
153	3358	18451
154	3382	18441
155	3402	18406
156	3420	18366
157	3441	18340
158	3463	18317
159	3484	18291
160	3507	18276
161	3535	18286
162	3559	18275
163	3577	18236
164	3595	18195
165	3615	18162
166	3636	18139
167	3658	18118
168	3679	18092
169	3700	18067
170	3725	18062
171	3746	18035
172	3766	18004
173	3786	17974
174	3806	17944
175	3827	17920
176	3846	17883
177	3867	17858
178	3887	17830
179	3908	17804
180	3936	17810
181	3956	17783
182	3975	17749
183	3997	17727
184	4019	17707
185	4039	17677
186	4060	17653
187	4080	17622
188	4099	17592
189	4120	17564
190	4139	17534
191	4162	17518
192	4187	17508
193	4207	17479
194	4227	17450
195	4247	17424
196	4266	17390
197	4286	17363
198	4307	17340
199	4326	17305
200	4346	17279
201	4367	17251
202	4388	17228
203	4407	17197
204	4428	17175
205	4448	17147
206	4470	17125
207	4488	17092
208	4509	17068
209	4529	17041
210	4550	17016
211	4571	16990
212	4590	16959
213	4609	16931
214	4630	16907
215	4649	16877
216	4670	16853
217	4691	16829
218	4710	16799
219	4740	16806
220	4762	16788
221	4783	16763
222	4802	16732
223	4823	16709
224	4844	16686
225	4866	16667
226	4887	16643
227	4908	16619
228	4931	16603
229	4951	16577
230	4973	16558
231	4994	16534
232	5013	16503
233	5036	16487
234	5063	16484
235	5095	16496
236	5121	16489
237	5141	16461
238	5162	16439
239	5183	16415
240	5205	16393
241	5227	16372
242	5249	16354
243	5271	16332
244	5294	16315
245	5318	16302
246	5343	16290
247	5367	16276
248	5397	16278
249	5420	16261
250	5443	16243
251	5464	16221
252	5492	16216
253	5512	16190
254	5530	16158
255	5551	16133
256	5569	16100
257	5590	16079
258	5611	16055
259	5630	16026
260	5652	16003
261	5673	15982
262	5694	15956
263	5714	15930
264	5733	15903
265	5763	15903
266	5785	15883
267	5805	15857
268	5826	15833
269	5850	15817
270	5873	15799
271	5894	15775
272	5917	15758
273	5942	15744
274	5961	15717
275	5982	15693
276	6008	15682
277	6029	15660
278	6049	15632
279	6071	15611
280	6093	15592
281	6114	15569
282	6141	15559
283	6163	15537
284	6194	15541
285	6229	15552
286	6250	15527
287	6269	15500
288	6297	15492
289	6326	15489
290	6347	15464
291	6365	15435
292	6386	15411
293	6408	15389
294	6429	15364
295	6449	15339
296	6471	15318
297	6491	15291
298	6513	15269
299	6533	15245
300	6555	15222
301	6576	15199
302	6602	15188
303	6622	15162
304	6642	15135
305	6662	15110
306	6682	15085
307	6705	15064
308	6727	15045
309	6747	15018
310	6771	15002
311	6791	14975
312	6811	14950
313	6831	14924
314	6856	14910
315	6878	14889
316	6899	14866
317	6921	14843
318	6943	14824
319	6967	14806
320	6988	14782
321	7009	14759
322	7028	14730
323	7048	14705
324	7066	14677
325	7085	14649
326	7107	14628
327	7126	14601
328	7148	14579
329	7169	14555
330	7190	14532
331	7210	14508
332	7230	14482
333	7252	14460
334	7271	14434
335	7291	14409
336	7320	14401
337	7349	14393
338	7371	14372
339	7391	14347
340	7410	14320
341	7430	14295
342	7449	14269
343	7469	14243
344	7489	14220
345	7508	14192
346	7528	14167
347	7549	14144
348	7570	14120
349	7596	14107
350	7618	14086
351	7639	14063
352	7660	14040
353	7678	14012
354	7705	13999
355	7729	13982
356	7754	13966
357	7776	13945
358	7800	13928
359	7822	13906
360	7846	13888
361	7875	13879
362	7896	13856
363	7916	13832
364	7937	13808
365	7966	13800
366	7986	13774
367	8010	13757
368	8032	13735
369	8053	13712
370	8073	13687
371	8094	13664
372	8116	13643
373	8146	13636
374	8172	13620
375	8192	13596
376	8213	13572
377	8236	13552
378	8257	13530
379	8278	13507
380	8298	13481
381	8324	13467
382	8344	13443
383	8365	13419
384	8391	13404
385	8412	13381
386	8433	13359
387	8456	13338
388	8477	13315
389	8497	13290
390	8516	13264
391	8535	13238
392	8556	13216
393	8578	13193
394	8599	13170
395	8617	13144
396	8641	13125
397	8665	13106
398	8687	13086
399	8708	13063
400	8731	13043
401	8754	13023
402	8775	12999
403	8805	12989
404	8826	12966
405	8847	12944
406	8867	12920
407	8889	12898
408	8910	12875
409	8942	12868
410	8977	12865
411	9010	12859
412	9034	12841
413	9058	12821
414	9085	12807
415	9119	12801
416	9141	12780
417	9161	12755
418	9181	12731
419	9202	12708
420	9220	12681
421	9247	12666
422	9271	12647
423	9292	12623
424	9312	12599
425	9346	12593
426	9369	12572
427	9389	12548
428	9409	12523
429	9429	12500
430	9451	12477
431	9470	12451
432	9489	12426
433	9508	12400
434	9529	12376
435	9549	12353
436	9570	12329
437	9592	12308
438	9613	12285
439	9636	12264
440	9657	12241
441	9678	12218
442	9697	12193
443	9717	12168
444	9737	12144
445	9758	12120
446	9777	12095
447	9797	12071
448	9819	12050
449	9840	12027
450	9862	12005
451	9883	11983
452	9907	11963
453	9930	11943
454	9955	11924
455	9975	11901
456	9998	11879
457	10017	11854
458	10035	11828
459	10053	11802
460	10074	11778
461	10096	11757
462	10117	11735
463	10136	11709
464	10159	11688
465	10188	11675
466	10208	11650
467	10230	11629
468	10253	11608
469	10272	11583
470	10291	11559
471	10311	11534
472	10331	11511
473	10352	11487
474	10371	11463
475	10390	11438
476	10409	11413
477	10429	11389
478	10448	11364
479	10470	11342
480	10490	11319
481	10509	11294
482	10536	11278
483	10570	11269
484	10596	11251
485	10623	11235
486	10655	11224
487	10675	11200
488	10699	11180
489	10718	11155
490	10741	11135
491	10771	11121
492	10794	11101
493	10815	11078
494	10840	11059
495	10870	11045
496	10891	11022
497	10910	10997
498	10931	10975
499	10952	10952
500	10971	10927
501	10994	10907
502	11013	10881
503	11035	10860
504	11056	10837
505	11075	10812
506	11095	10789
507	11117	10767
508	11137	10743
509	11158	10720
510	11181	10699
511	11207	10682
512	11226	10657
513	11245	10633
514	11267	10610
515	11296	10595
516	11317	10573
517	11335	10547
518	11356	10524
519	11376	10501
520	11395	10477
521	11415	10453
522	11437	10431
523	11457	10408
524	11480	10387
525	11499	10363
526	11523	10342
527	11543	10319
528	11564	10296
529	11583	10272
530	11602	10247
531	11620	10222
532	11639	10198
533	11661	10176
534	11681	10153
535	11703	10131
536	11724	10108
537	11747	10088
538	11767	10064
539	11789	10042
540	11809	10019
541	11830	9996
542	11853	9976
543	11875	9954
544	11897	9932
545	11920	9912
546	11940	9888
547	11960	9864
548	11981	9842
549	12002	9820
550	12021	9795
551	12040	9772
552	12069	9756
553	12092	9735
554	12114	9713
555	12134	9690
556	12155	9667
557	12174	9643
558	12192	9618
559	12213	9596
560	12235	9574
561	12258	9553
562	12280	9532
563	12300	9508
564	12322	9487
565	12345	9466
566	12366	9443
567	12386	9420
568	12407	9398
569	12429	9376
570	12453	9356
571	12474	9333
572	12494	9310
573	12521	9292
574	12542	9270
575	12563	9248
576	12583	9225
577	12616	9211
578	12635	9187
579	12655	9164
580	12675	9141
581	12697	9119
582	12717	9096
583	12739	9074
584	12761	9053
585	12784	9032
586	12805	9009
587	12827	8987
588	12848	8965
589	12867	8941
590	12888	8919
591	12908	8896
592	12936	8879
593	12959	8858
594	12985	8839
595	13006	8816
596	13027	8793
597	13046	8770
598	13064	8746
599	13084	8723
600	13105	8700
601	13127	8678
602	13147	8655
603	13168	8633
604	13189	8611
605	13215	8592
606	13236	8569
607	13257	8547
608	13277	8524
609	13300	8503
610	13324	8482
611	13346	8461
612	13368	8439
613	13388	8416
614	13409	8394
615	13431	8372
616	13452	8350
617	13471	8326
618	13498	8308
619	13524	8289
620	13549	8269
621	13583	8254
622	13609	8235
623	13645	8222
624	13669	8201
625	13690	8179
626	13713	8158
627	13734	8135
628	13755	8113
629	13777	8091
630	13798	8068
631	13819	8046
632	13848	8028
633	13870	8007
634	13892	7985
635	13913	7963
636	13934	7940
637	13954	7917
638	13976	7895
639	13997	7873
640	14018	7851
641	14039	7828
642	14062	7807
643	14081	7783
644	14101	7761
645	14122	7739
646	14144	7716
647	14164	7694
648	14183	7671
649	14202	7647
650	14223	7625
651	14253	7607
652	14275	7585
653	14297	7563
654	14318	7541
655	14336	7517
656	14357	7495
657	14380	7474
658	14404	7453
659	14424	7430
660	14445	7408
661	14465	7385
662	14487	7363
663	14507	7341
664	14530	7319
665	14550	7297
666	14569	7273
667	14591	7252
668	14612	7229
669	14633	7207
670	14652	7184
671	14673	7161
672	14693	7139
673	14714	7116
674	14734	7094
675	14755	7072
676	14776	7049
677	14796	7027
678	14817	7005
679	14839	6983
680	14858	6960
681	14879	6938
682	14902	6916
683	14923	6894
684	14944	6872
685	14963	6849
686	14984	6826
687	15003	6803
688	15024	6781
689	15043	6758
690	15063	6735
691	15086	6714
692	15107	6692
693	15128	6670
694	15155	6651
695	15175	6628
696	15194	6605
697	15214	6582
698	15233	6559
699	15255	6537
700	15274	6515
701	15295	6492
702	15314	6469
703	15335	6447
704	15357	6426
705	15378	6404
706	15398	6381
707	15422	6360
708	15444	6339
709	15466	6317
710	15492	6297
711	15518	6277
712	15554	6261
713	15580	6240
714	15602	6219
715	15630	6199
716	15656	6179
717	15681	6159
718	15707	6138
719	15738	6120
720	15760	6098
721	15782	6077
722	15804	6054
723	15825	6032
724	15844	6010
725	15865	5987
726	15886	5965
727	15905	5942
728	15924	5919
729	15942	5896
730	15965	5875
731	15987	5853
732	16008	5831
733	16031	5809
734	16054	5788
735	16076	5766
736	16104	5746
737	16125	5724
738	16148	5703
739	16169	5681
740	16196	5660
741	16214	5638
742	16237	5616
743	16256	5593
744	16275	5570
745	16296	5548
746	16318	5526
747	16336	5503
748	16357	5481
749	16379	5459
750	16403	5438
751	16425	5417
752	16446	5394
753	16464	5371
754	16485	5349
755	16504	5326
756	16522	5303
757	16542	5281
758	16563	5259
759	16586	5237
760	16604	5214
761	16623	5192
762	16643	5169
763	16663	5147
764	16685	5125
765	16714	5106
766	16742	5085
767	16765	5064
768	16786	5042
769	16803	5019
770	16825	4997
771	16847	4975
772	16867	4953
773	16885	4930
774	16907	4908
775	16929	4886
776	16950	4864
777	16972	4843
778	16993	4821
779	17012	4798
780	17034	4776
781	17054	4754
782	17082	4734
783	17106	4713
784	17129	4691
785	17152	4670
786	17173	4648
787	17195	4626
788	17216	4604
789	17244	4583
790	17264	4561
791	17285	4539
792	17311	4518
793	17332	4496
794	17353	4474
795	17373	4452
796	17394	4430
797	17418	4409
798	17437	4386
799	17459	4364
800	17479	4342
801	17500	4320
802	17523	4298
803	17546	4277
804	17568	4255
805	17588	4233
806	17608	4211
807	17627	4188
808	17653	4167
809	17674	4145
810	17695	4123
811	17716	4101
812	17739	4080
813	17760	4058
814	17784	4036
815	17807	4015
816	17831	3994
817	17857	3973
818	17879	3951
819	17901	3929
820	17921	3907
821	17941	3885
822	17963	3863
823	17983	3841
824	18005	3819
825	18025	3797
826	18055	3777
827	18078	3755
828	18104	3734
829	18124	3712
830	18144	3689
831	18165	3668
832	18184	3645
